,i1,i2,i3,i4,o1,o2
r1,0.2811495804,-0.5269966335,1.3697594307,0.8628147324,0.7671088540,-0.6119358159
r2,-1.5272206446,0.8314799080,0.9123630480,-0.2179504641,1.3463672857,-0.5572254280
r3,-0.7912239515,-0.1430729706,0.1777033491,-0.5835185634,-0.6504936628,-2.3736203336
r4,-0.8411128164,0.1402317711,0.4970714480,0.8434543961,-0.4483950470,-1.3411906101
r5,0.4482893396,1.3931160828,1.6802813322,-1.1580110861,1.2393473042,0.4639325661
r6,1.6499877558,-0.5186200262,0.5331139195,0.9700816075,-1.4470886107,1.3065492105
r7,1.2194662278,-0.0219563956,-1.0085638903,0.2764900137,-0.5018425148,0.0824308388
r8,-1.1237542833,-0.6277846946,-0.5697104306,-0.3954844825,0.7332131919,-0.6054782963
r9,0.8474246076,0.3931170201,-0.6961700626,0.6518167911,0.9900191091,-1.0186892982
r10,0.0798745967,-0.9869937376,0.7768413096,0.2263808713,-0.0595466370,-1.0268561586
r11,-0.1454406384,1.4464954954,1.7683691931,-0.2301982981,-0.9582757006,-0.6376631172
r12,-0.3952391294,-0.5566151996,-1.1549500628,-0.5779910373,-1.4461289596,0.1991715204
r13,1.0594330187,0.4036419660,1.2497017620,1.0514135183,0.1852900305,-1.0785962900
r14,2.7902438723,0.0083344447,-0.8225915441,-0.7631347313,1.2485744652,-1.7111502370
r15,0.0890191392,-0.6972173814,1.3979555028,0.9789021267,-0.0197223234,-1.7728056488
r16,-2.1184555516,1.0186855434,0.5951291967,1.8734667360,-0.6897133357,-0.2535962900
r17,-0.5493909602,-0.6334019655,0.0818381759,-0.5221527393,-1.3518605009,0.0063335326
r18,-1.7038456359,1.4386072987,-1.3309940839,-0.4376312861,0.9763907220,-0.6470902390
r19,-0.1598690108,2.0857482607,0.8907556206,0.2115895301,-1.0050073416,-0.5609838421
r20,0.1785771533,-0.4079482560,-2.1256181249,0.8649348787,0.3649082469,-0.1115104036
r21,-0.3110258802,-0.6925348629,-0.2046411585,1.2108871541,-1.3650654265,0.5355186670
r22,0.1767440315,-0.8653798855,-1.5818103964,-1.2476975153,0.3572387570,0.7136393518
r23,-0.5273960963,0.2066710262,0.5641150694,-0.4207704726,-1.3842480406,0.8577698002
r24,0.1199564867,1.8818326491,0.1403076941,-1.6936965241,0.1147465995,0.4983820856
r25,-0.2321432625,1.5603821389,-1.3922325919,1.0227457599,-1.2087205138,-0.1249509495
r26,1.4874789240,-2.0694338797,-1.0153295873,-0.3453400884,-1.3337602599,-0.4778329495
r27,0.2985669515,0.0984347817,-0.7954390654,-0.6147462005,0.8285867780,-0.5034860573
r28,-1.2321646478,-0.9397269173,0.6491430146,1.9639417184,1.0813288245,0.4353166770
r29,-1.3692020741,-1.2643219773,-1.2046676059,-0.9324389951,1.3430436677,-0.3408044065
r30,-0.3505848977,1.2599515271,-0.6394011639,-1.2733444328,-1.4146317620,-0.6867537960
r31,-0.5900813487,1.0263560707,-1.2463721231,-0.3369667959,-1.2762439312,0.5784931176
r32,0.7448789968,-0.9261378473,0.0623597909,-0.4114127936,1.2442418112,0.8010723804
r33,-0.2704471201,1.5607526177,-0.0341782810,3.0726696914,-1.2938637806,1.5857012899
r34,0.7350303678,1.4487024577,-0.2647809684,0.0321534191,1.2623555062,-0.8165881704
r35,-1.8706826281,-0.3595115998,0.5465740976,0.7342421667,0.3582304111,0.5605663590
r36,0.0708961591,-1.8588711988,1.2960825523,-0.9680924753,-0.0986274959,0.7135942732
r37,2.2416380994,-0.8659617844,1.4247277609,0.5006504334,0.4288080251,0.6826613159
r38,0.8742620024,-0.5122750422,1.2509322232,-0.1244327039,0.9056336789,-1.7547829074
r39,1.2027576991,1.3976711864,-1.9047150460,0.0879338310,-0.4325710766,-0.5527874576
r40,0.0362473861,1.1066322392,1.6657687086,0.8938912206,-0.2487141041,-0.2850661987
r41,0.2702855507,-0.2554472587,0.0904808346,-0.0425512012,0.7275935743,2.8566132945
r42,0.5785711964,0.9031341979,1.3096566370,0.3472928833,1.3837431546,-0.4485597489
r43,-1.1649021504,1.3530079848,-0.8642353802,-1.4275541287,0.8775540163,-1.2526409503
r44,-0.7115299869,-1.5633043943,1.1233538548,-0.4436689050,-0.9415445962,0.3140183616
r45,0.1317046226,-1.0140204587,0.8365015460,-1.5846518698,0.1655263052,-0.2516236594
r46,-2.1148358657,-0.6003455268,-0.5764768360,-0.6496384950,-0.6756971319,1.3605292868
r47,1.7873216088,0.8338102537,-0.2262057190,-1.5042614554,-1.2730469526,0.6753711470
r48,0.4190623864,-0.0274080988,-0.6347509209,1.7902467341,1.1779183648,0.6179959515
r49,-0.1036643983,-0.5115273403,1.4493370681,-1.7867594965,-0.8130844384,0.4885459772
r50,-0.3805137607,-0.4140528356,-0.9492491651,1.2719419667,-1.4386505926,1.9524944490
r51,-1.0127589911,-0.3752673416,-0.8147024775,1.1133471015,0.2901257315,-0.9456211253
r52,-1.2288839354,0.5174229625,-0.8597283791,-0.8961333659,1.0724243788,1.2351081450
r53,0.7744383129,1.4743333164,-1.2208890583,1.0855089264,1.1829432944,-0.2686518325
r54,0.9884199048,1.6202932313,0.9654743394,2.5017445908,0.4833043143,-0.7670118594
r55,0.3394890764,0.4387705461,0.0304089397,-1.3025751129,0.9630496987,-0.2822518533
r56,2.1027882479,-1.3068117069,0.5682848441,-0.3913467812,-0.1671380053,1.2574546579
r57,-2.2292358686,-0.6437909326,-1.8259191730,-0.7429481278,-1.0716863171,0.6823006596
r58,-0.4807001454,-1.1582415150,-0.0522451211,1.1256660273,-1.4324656969,1.7221060804
r59,0.3936626588,0.6870775178,-0.4444207465,-0.4935364719,1.1166088431,-0.1176107874
r60,-0.8118264327,0.4448764631,0.6869020127,-0.4345975342,-0.5685204089,-2.3536564692
r61,-0.9217741325,0.8468247073,-0.6497871546,-0.1876040255,-0.1032390899,0.4718617363
r62,-0.8084555003,-0.8092950565,-2.3270847588,-0.4884219610,-0.5820878585,-0.5384361878
r63,-0.0386970691,0.2197891609,0.5737636733,-0.3491757091,-0.5628098850,-0.8469024394
r64,1.0079726157,0.4984056277,1.4306395472,-1.5390754376,0.4031037064,0.0358723266
r65,0.5115795680,1.3211508569,0.7884691060,0.5317508125,1.3367741717,-0.4512522446
r66,-0.5410196412,0.4763347840,-0.3239943813,1.7507665571,-1.3649036923,0.5984892811
r67,0.7000716380,-0.7697389950,-0.0092969678,0.0979139228,1.3169964621,1.9664144237
r68,-0.1481092935,-1.4942896303,-0.9663204213,-0.0574395406,-0.9670585705,-0.7111437923
r69,-1.2486757895,-1.6205178883,-0.0464210087,0.7475613872,1.1244105881,0.3680802326
r70,-0.4438787476,1.8130505105,-0.6992795478,0.1930708467,-1.4502914167,0.5758506350
r71,-1.4812422249,-0.8679588215,-0.4914676329,0.7393352899,1.3796288547,2.1018143771
r72,-0.0849495321,-1.9462540448,0.5641528623,-0.1577617714,-0.7437402485,1.6929945473
r73,0.8826004291,-0.4636084261,-0.1602364308,-0.3816051373,0.8780915098,-1.8604100143
r74,1.5645003985,-0.8646533064,-1.6981979600,0.1835621038,-1.4306327679,1.0960614330
r75,-1.2645466443,-0.6982453387,2.7160486363,-0.0741902902,1.1630230145,0.0563028846
r76,0.1656921563,-0.4177596588,-0.4604201114,-1.7738183960,0.3107464323,0.1983208227
r77,0.4485393760,0.3977401546,0.2407892445,-0.1145864333,1.2398293533,1.0290668324
r78,-0.8791030382,1.2095360028,-0.1133010507,-0.3966267436,-0.2877216945,0.8675655623
r79,-0.2770743459,-0.2503536889,-0.7915026130,0.9939003464,-1.3068590031,-0.8340315866
r80,-0.8115303008,-1.2456665482,-0.7664857213,2.0657859688,-0.5697146073,-0.6180242312
r81,0.5271544006,-0.1594226606,0.5982208828,-1.4687694200,1.3529530059,0.0134554485
r82,-0.2353462309,0.4575789543,-0.3693603249,-0.9639630574,-1.2164794976,-0.4299657639
r83,-0.3044007525,-0.2408684952,0.0154444492,0.2230274960,-1.3548239499,1.4195759643
r84,1.4854812730,-0.5486482013,1.2897256878,1.6875325867,-1.3302532589,-1.2577276014
r85,-0.0158855084,-1.0014758238,0.6271642875,-1.3484879446,-0.4694179518,-0.7993408448
r86,0.6036909001,1.1036512425,-1.0364285544,-0.1065022330,1.3860022043,1.0901960646
r87,1.2344102812,2.0216079640,1.1469240174,0.4312704955,-0.5627604407,0.6667721125
r88,0.5270702719,-0.3259231691,0.4820110083,0.5329365141,1.3528740867,-1.6222649917
r89,0.4722668323,-0.2286455216,1.1948741630,0.5747982801,1.2821256422,1.6122383561
r90,-1.1335986372,1.2087196888,1.3316965328,-1.3603097783,0.7689459147,-0.1744926713
r91,0.2357546482,0.5545732190,-1.7957724147,-0.5383686297,0.5966002412,0.1087844665
r92,0.2502328530,0.3413318049,0.0488939712,-0.4613294222,0.6524699355,-0.1126105956
r93,0.9977221007,0.6603149668,-1.0070577203,0.3367493541,0.4453630834,-0.9646286004
r94,-1.6165042431,-0.6468285467,-0.3040521829,1.1843462737,1.2045541330,0.8752393671
r95,0.2238898104,-0.2882589444,0.2710739742,-0.2555265645,0.5498837866,-0.9235610538
r96,1.4062457359,-0.3576957973,-0.4028080222,-0.8843230839,-1.1534080807,-0.4751986766
r97,-0.8821995337,-0.9839118235,-0.4505115898,-0.6800791162,-0.2744434098,0.2862498597
r98,0.7536795012,-1.2273934112,0.6550955227,-0.5516936943,1.2270684618,-0.0583222706
r99,1.3790628369,-1.6596322297,0.5489158867,-1.2548479825,-1.0769103912,-0.2628047509
r100,-0.3101603099,0.3518450889,0.2155780036,0.5092239417,-1.3637585528,-0.8346862264
