	i1	i2	i3	i4	o1	o2
r1	-1.2323645905	2.1110007454	-1.1653427428	-0.1087159685	-2.1395536628	-1.1105274805
r2	-0.1568620452	-0.5626497574	-0.9675036893	1.6043074702	-1.0730844860	1.5817521209
r3	0.3038639147	0.7858442534	1.4149320133	0.6495483330	0.2108981900	-0.7192628169
r4	1.1927169698	-0.1381542787	-0.4350708359	1.1547936400	-0.1390863720	1.5297112918
r5	-0.5710180607	1.0687734437	-0.4518998758	-1.5201076784	-0.2954370772	-1.3650092497
r6	0.0183863663	-0.8433731519	-1.6762485039	-1.4306595366	0.2006187684	0.6643424013
r7	0.4288240540	0.1298914706	-0.3759510501	0.2544617690	-0.1738340538	0.5009042025
r8	0.2510623642	-0.6508939109	0.2937230017	0.5745953570	0.3090113919	0.5905050624
r9	1.1004862076	-0.7582847410	1.1350117776	0.9127284549	1.0458339575	0.7791664961
r10	1.8000542209	0.3738323403	-0.5763506328	-1.2140283649	0.9512404827	0.4482012951
r11	-0.6210611341	-1.4045030198	-0.6777872110	-0.1438449750	0.0772347413	0.7102168436
r12	-1.3663159335	1.4588692939	0.7580672596	2.6930295625	-2.2081530589	-0.5069164835
r13	1.3891540424	1.2438119157	0.6308595849	-0.4555922948	0.6219521528	-0.5103374527
r14	1.0232280403	-0.9797384672	0.3344118532	-1.2248071724	1.7004647428	0.2131725682
r15	-0.9271599769	0.2555986149	0.8460086614	1.4386673750	-0.7960160785	-0.3566068575
r16	1.3789044180	-1.4497429117	0.0956204004	-0.5864072405	1.6649841429	1.1019464270
r17	0.4665691643	-1.2081729011	0.2112992349	0.9659691915	0.4461736415	1.2353549675
r18	0.5487557588	-1.2310257385	1.0917525944	0.9434057402	0.9682835139	0.7755870463
r19	0.3401112009	0.3136792963	-1.1850943392	-0.8429151024	-0.2097581633	0.2598071805
r20	0.3273136540	0.3025217138	-0.7211640758	-0.5175833690	-0.1206474444	0.1609521250
r21	1.6057184311	0.1994861550	0.4320648429	0.1665569531	0.8189696213	0.5692217731
r22	2.0877524784	-0.9874971652	2.3259095579	0.7236840501	2.3372438293	0.6317686770
r23	0.7260158370	0.1802380716	-1.9306688557	-1.0456215936	-0.2585848512	0.8497889570
r24	-0.3461085607	-1.0020885637	-1.0019787252	0.4466055917	-0.4292103615	1.1345735612
r25	0.4817782129	-1.1677943590	1.0909839444	-0.7553628445	1.7065301324	-0.1623146673
r26	0.1120523137	0.0112035932	0.6601503909	0.8228734244	0.0065341113	0.0976083414
r27	-2.7899879421	-1.4610952513	-0.6126021865	0.5134608650	-1.2046113798	-0.0854590408
r28	0.2457265356	1.0684582087	0.3509351860	0.2751591882	-0.3311554335	-0.4788605217
r29	0.2095317994	-0.2505027132	-0.5991428821	-0.3006083950	0.0451224841	0.4246903030
r30	-0.8984572067	-0.6875574251	1.5561346672	0.1860617585	0.6236547783	-0.9065051683
r31	1.1160265507	1.6202522002	0.3753689840	-0.3954642069	0.1525450406	-0.6680461547
r32	-0.0617536792	-2.5764785708	0.8572088813	0.3505431729	1.4666779401	0.9777771434
r33	0.5276524638	-0.6835148846	-0.6763564266	-2.2901916670	1.2971072163	-0.1649653387
r34	1.0862218734	-0.0554665727	-0.8746568808	-0.3351973890	0.2427776324	0.9188829977
r35	0.3405548025	2.1568909615	-0.4920499083	-0.5653357064	-0.8439172681	-0.9369475245
r36	-0.0872166386	-0.4713957169	0.6489133786	0.4989272081	0.2853361100	0.0816732116
r37	-1.6567403053	-0.2582326146	-0.5391578959	-0.0032987886	-0.9486943073	-0.4207439238
r38	-0.0251603334	-1.0230598625	-1.1482496588	1.2874354284	-0.7392895415	1.8264325061
r39	-0.6904668141	0.9075547842	-1.3846908734	0.7014842802	-1.8121167985	0.3273634514
r40	-1.7878843065	-0.5045290922	0.4385718395	0.6261340090	-0.6792477836	-0.5978432148
r41	-0.4303995966	-0.4481672052	-0.9534901389	0.1669087804	-0.5727019894	0.6361196611
