,i1,i2,i3,i4,o1,o2
r1,0.2477779592,-0.5102043090,0.0602433375,-0.7414301310,-0.1867023418,-0.4909444766
r2,-0.7543552454,-0.1738378073,-1.2722357922,2.4726153600,-0.6265696236,0.8885925279
r3,1.2972760309,0.9415385552,-0.2084615133,-1.4199582105,1.5221158892,-1.1665434122
r4,-0.8843929305,0.0860381754,-0.5473098117,-0.2898464491,-0.5340423000,-0.5908561944
r5,-1.0741678636,0.5988006949,0.1184455958,-0.2858686783,-0.3066405716,-0.1227497613
r6,1.4023671257,-2.2925678884,-0.0022793805,2.4366907118,-0.6449724515,1.7502423872
r7,-0.7587115765,1.2817402616,-0.2058664366,-0.8764417534,0.3775954774,-0.7739739948
r8,-1.3596362188,-0.9427918751,1.2360071708,-0.2021418111,-1.5648368047,0.7184250489
r9,0.4715149740,-1.3247508417,0.4929073117,1.0978269396,-0.6001090828,1.1337281341
r10,-0.5051592141,0.4408449730,1.5081843943,-0.6393815943,-0.0340305878,0.5942800273
r11,-0.5895401893,-1.4338464196,-0.1698235952,-0.9183849521,-1.3877299123,-0.7789410071
r12,0.2224786049,-0.1158972772,-0.7699039158,0.2974549299,0.0691318128,-0.3241759032
r13,-0.4506309793,-0.9497281851,-0.3042408255,-0.0629420458,-0.9595464758,-0.2578627311
r14,0.1379671117,0.2673016193,0.9218037930,-0.7833263236,0.2775395279,0.0810148144
r15,-1.2696884268,-0.8236320310,-1.3816782792,-0.3324244647,-1.4220226944,-1.2045449559
r16,-0.7015587105,-1.4077302275,-0.1340410158,0.4030105433,-1.4448431111,0.1960693023
r17,2.0681505872,1.4019886240,-0.9458861917,-0.5125121414,2.3580746307,-1.0294747623
r18,0.9092910203,1.0769088030,-0.4087955890,-0.5502916763,1.3553755334,-0.6813035486
r19,-1.6675871582,0.1732391959,0.2949272513,-1.0174190187,-0.9993593613,-0.5253609922
r20,-3.4111679942,0.8728819298,-0.3061398517,1.8735204945,-1.6855134001,1.1330112401
r21,0.5466092065,0.1792186710,0.2078037474,-0.8431625205,0.4908613781,-0.4609650639
r22,0.5340822465,-0.2848165199,2.0531673640,-0.8853916139,0.1613959640,0.7982613282
r23,1.5618711053,0.6223628750,1.3042985716,-0.6317964250,1.4788699034,0.4572527615
r24,0.5089239949,0.2330991540,-0.8999245522,-1.6054199193,0.5028474700,-1.7830911122
r25,-1.1744085807,-0.6282526649,0.8625795145,1.0712784733,-1.2228949652,1.3729776201
r26,-0.2803124954,0.1038528794,0.5936994290,-0.3963906766,-0.1162810085,0.1299108678
r27,0.4549510697,-0.6605131737,-0.4153275253,-0.6126807434,-0.1516517626,-0.7307222481
r28,0.4398503900,0.6432820399,-1.0507410500,0.0537253212,0.7402862518,-0.6956590191
r29,1.0035873078,0.1724572470,-0.8718206601,-0.3614070023,0.7928894358,-0.8690803209
r30,-0.5761448707,-0.2659312666,-1.0212399979,0.4337699336,-0.5706795048,-0.4018135335
r31,0.8568887006,-0.3918364729,-1.2743782056,1.1144142650,0.3040060445,-0.0893702166
r32,1.7421409900,-1.3688834926,-0.6905890436,2.1180744665,0.2221517416,1.0401681766
r33,-0.1154879399,-1.0886795680,-2.0791541744,1.6376584881,-0.8307493481,-0.2755865553
