,i1,i2,i3,i4,o1,o2
r1,-1.4704930639,-1.4704930639,1.0669245446,1.0669245446,-1.4704930639,1.0669245446
r2,0.8499043658,0.8499043658,-0.6010155022,-0.6010155022,0.8499043658,-0.6010155022
r3,-0.1262190023,-0.1262190023,0.1046868177,0.1046868177,-0.1262190023,0.1046868177
r4,-2.8897559047,-2.8897559047,1.2963616166,1.2963616166,-2.8897559047,1.2963616166
r5,-1.2611826453,-1.2611826453,0.6261205445,0.6261205445,-1.2611826453,0.6261205445
r6,-0.2868124657,-0.2868124657,0.6136099699,0.6136099699,-0.2868124657,0.6136099699
r7,-0.5600977349,-0.5600977349,-2.4335433090,-2.4335433090,-0.5600977349,-2.4335433090
r8,-2.7927721631,-2.7927721631,-2.5728156792,-2.5728156792,-2.7927721631,-2.5728156792
r9,0.5302466260,0.5302466260,0.9742441554,0.9742441554,0.5302466260,0.9742441554
r10,-0.2503310460,-0.2503310460,0.3421423487,0.3421423487,-0.2503310460,0.3421423487
r11,1.6461199039,1.6461199039,-0.0541167892,-0.0541167892,1.6461199039,-0.0541167892
r12,-1.2891240442,-1.2891240442,-0.7486706536,-0.7486706536,-1.2891240442,-0.7486706536
r13,0.7830382506,0.7830382506,0.5923146278,0.5923146278,0.7830382506,0.5923146278
r14,1.3651995437,1.3651995437,0.1177534839,0.1177534839,1.3651995437,0.1177534839
r15,-0.3981133685,-0.3981133685,-1.7958602136,-1.7958602136,-0.3981133685,-1.7958602136
r16,0.6678418871,0.6678418871,0.5332864175,0.5332864175,0.6678418871,0.5332864175
r17,0.2436481721,0.2436481721,0.3026748391,0.3026748391,0.2436481721,0.3026748391
r18,0.7916614050,0.7916614050,0.8550970768,0.8550970768,0.7916614050,0.8550970768
r19,-1.8200064253,-1.8200064253,-1.2700775218,-1.2700775218,-1.8200064253,-1.2700775218
r20,-1.4449635792,-1.4449635792,-1.5316286129,-1.5316286129,-1.4449635792,-1.5316286129
r21,0.5036097699,0.5036097699,-0.2171928308,-0.2171928308,0.5036097699,-0.2171928308
r22,-1.2367889342,-1.2367889342,-0.5427345201,-0.5427345201,-1.2367889342,-0.5427345201
r23,-0.2260169129,-0.2260169129,0.5011817731,0.5011817731,-0.2260169129,0.5011817731
r24,1.7711425701,1.7711425701,0.1604544541,0.1604544541,1.7711425701,0.1604544541
r25,-0.2129967221,-0.2129967221,0.8173765809,0.8173765809,-0.2129967221,0.8173765809
r26,0.2200824811,0.2200824811,-0.4687151820,-0.4687151820,0.2200824811,-0.4687151820
r27,1.2781532085,1.2781532085,0.0422057346,0.0422057346,1.2781532085,0.0422057346
r28,0.3521114834,0.3521114834,-1.2723824903,-1.2723824903,0.3521114834,-1.2723824903
