# application = nemoa 0.4.218
# type = base.Dataset
# name = multiplication

,i1,i2,i3,i4,o1,o2
r1,-1.6337489505,0.7790683757,0.9121137883,-2.1280893367,-0.6241218244,-2.2752667433
r2,-0.3553713570,0.3277565764,1.6440577102,-0.5406846784,0.0917633469,-0.9717210273
r3,0.9530870377,-0.2069411314,-0.4148629564,-2.8081763520,-0.3022388180,0.8491255541
r4,0.3342052913,0.6720776910,-0.6007472421,-1.7884860515,0.2828724476,0.8831196186
r5,1.7213731418,0.4532767745,-0.6669907652,-0.3819361438,0.4659435261,0.2105720779
r6,0.5060593135,-0.8887906176,0.9054830917,-0.0645307343,-0.4971359047,-0.0566377707
r7,0.2752071443,-0.3971932234,-0.3976034445,-0.3722389611,-0.1012728052,0.1039503028
r8,0.3693899041,-1.7317373232,-1.2489560418,1.7794294570,-0.7162587230,-2.0928909677
r9,-0.5290252117,0.4273025877,0.3525147886,-0.3642974027,0.0401880001,-0.1737612213
r10,0.5075301539,1.0764810535,-1.0290334157,0.9783632295,0.5698690383,-0.9300772503
r11,0.4464052457,0.1034306847,1.2836250911,0.3536870629,0.0479592792,0.5331815301
r12,1.9316038618,0.3972052682,-0.2943293138,-0.2915302017,0.4054119531,0.0508048365
r13,-1.4172435733,0.3061663226,-0.5349981503,-0.1837540320,0.0294106516,0.0748594373
r14,0.3125930658,1.5793788752,-0.4124094461,0.3378796157,0.6111136976,-0.1040238304
r15,0.2992886425,-3.1719007507,-0.1449200671,0.6947247652,-1.1114816181,-0.0153346587
r16,-1.6428510974,-0.4262139312,0.4211995920,-0.9594857021,1.0119839833,-0.5353217823
r17,1.2014135310,0.6312939372,1.2837971119,0.1486020879,0.5715219488,0.2336168756
r18,0.6156538994,-1.0023593755,-0.6182067212,0.0286655810,-0.6788325117,-0.0194670683
r19,-0.4207849662,0.8234123337,-1.1911389964,-0.2810662820,-0.0517152481,0.3007280615
r20,1.5350718931,-1.3185803556,0.2066449024,2.2097005927,-2.1461216249,0.7607735999
r21,-0.7409440433,1.3221273736,-1.3132993057,-0.0379198087,-0.4990131468,0.0344047737
r22,-0.2319059648,-1.1602204845,0.2411445909,1.0793629556,0.2675428665,0.4129673315
r23,0.8673539325,1.0313374746,-1.0311561684,-0.3045115914,0.7991983008,0.2779284979
r24,0.7024302509,0.1756334771,1.6426355464,-0.0280818313,0.0698847733,-0.0309796735
r25,-0.5270080913,-1.6164478446,-0.0120123356,0.1795258509,0.8022315412,0.0227194806
r26,-0.0066498840,-0.8505762557,-0.6832027589,0.9377108483,0.0165150819,-0.5511467291
r27,-1.1910039262,0.0360609447,0.4128877417,0.4540546435,0.3032412282,0.2594535116
r28,1.1758232188,-0.1280658647,-0.2835970645,0.1205702003,-0.2998205381,-0.0211103965
r29,0.0033357855,-0.2624890727,0.1397291479,0.5925096838,0.0640005316,0.1653512721
r30,-0.1356254385,1.3816805915,0.5457547091,-0.5291922599,0.0824334878,-0.3592326935
r31,-0.4656231227,-2.0021496900,-0.5228315023,-1.6110651528,0.8243501618,0.6655589320
r32,0.0349358170,-0.1886989478,0.7266470105,-1.8947240357,0.0593090861,-1.6614990964
r33,0.7501289639,0.1769684794,-1.1306021930,-2.4039338705,0.0683972340,2.5055792025
r34,-1.2753734576,-1.0306959575,-0.0711283045,-0.5134607488,1.4228095843,-0.0262170678
r35,-0.6025309535,1.5387556482,-1.4695614925,-0.3409285343,-0.4609327339,0.4626251226
r36,-0.4341489039,-0.9712250971,-0.9752615473,-1.0400686691,0.4625593796,0.9120533561
r37,-0.0897580262,0.2896216472,0.3699599949,0.3798670793,0.1130742513,0.2007551258
r38,-0.0102701380,2.0950988753,1.5499735252,-0.6765278048,0.2704323578,-1.1559586394
r39,-0.0068723218,-0.5595042150,-0.8545526863,-0.9523882229,0.0423514720,0.7163775062
r40,-1.2678266123,0.1202494276,-1.1326333329,0.4102377515,0.2301442835,-0.4406926449
r41,1.1304697394,0.2014391333,-1.2213304996,0.0244959102,0.0757173265,-0.0393982500
r42,0.2224567631,0.2063087101,0.2384968938,0.7009773290,0.1039750373,0.2679464354
r43,-0.9030922178,-0.2960671416,-0.7267552217,1.8963706101,0.4869791876,-1.1953059134
r44,-1.2507810530,1.0851155084,-1.3438244658,-0.4579171996,-0.7497662450,0.5678570239
r45,-0.8840533160,0.8298002729,1.0933370612,-0.2354109547,-0.2976512656,-0.2829854459
r46,-0.2726862181,0.0182297632,0.0977377514,-0.9174886101,0.1442025590,-0.2069675432
r47,1.0036707461,-0.5029065069,0.6398502318,1.2016549375,-0.6130089429,0.9612615160
r48,0.5087603611,0.2816488233,1.3868322368,0.1069324238,0.1377897720,0.1853306206
r49,0.7779456297,-0.2852805420,-0.0598466171,-0.9248064529,-0.2950628096,-0.0590408244
r50,-0.5713988381,-1.3314382992,2.4790197855,-1.0492156586,0.7575948005,-2.8055279847
r51,-1.5254297936,0.1161362591,-1.9730831970,-1.0179824854,0.2614551409,1.9363512167
r52,0.6542575582,0.2322368127,1.0582572085,-0.6560202444,0.1105402746,-0.7907841139
r53,0.8715872728,-0.3104499939,-0.8747967551,-0.1836222526,-0.3600025819,0.1358142885
r54,0.3189818640,0.0333336208,0.7825812284,0.2052884230,0.0363849232,0.2039745760
r55,-0.8492763659,0.7697835005,-0.8034922013,0.3068267980,-0.2398224133,-0.2236793782
r56,-0.5390781107,0.4556370716,-1.0825737791,-0.1106283911,0.0276108085,0.1003648225
r57,0.8441877212,-0.9450704709,-1.1831744574,2.1967730387,-0.8810427770,-2.4301735163
r58,-0.4911449773,-0.7633670577,-0.3868810954,0.2876449984,0.4525820504,-0.0810066727
r59,0.5324798438,0.0981096609,-1.1245731630,-0.3714565894,0.0349320454,0.3760779658
r60,-0.2022395633,2.2692188140,-0.5447691074,-0.5074303757,-0.0607000695,0.2184407969
r61,-0.9319235497,1.5339129511,0.2992828296,1.4818901392,-0.8378418704,0.6552888473
r62,-1.3931621665,0.7746955461,-0.2859165790,-0.5143835484,-0.5031520216,0.0860857364
r63,-1.5896517816,0.1234845577,-0.2523618884,-0.9486840101,0.2585506514,0.1269354705
r64,0.0182918508,-0.6117519507,0.5296710827,0.5410879408,0.0188824382,0.3748179826
r65,1.0583500888,0.4866237947,0.1099737485,-1.4102018875,0.3720397207,-0.3376554495
r66,-1.6226184833,1.4662715984,-2.1730576185,1.0350448254,-1.5417833773,-2.2260307567
r67,1.6079341709,-1.2718173602,0.3375737471,1.3422717048,-2.1753727518,0.6478787751
r68,-0.1327597407,0.2175860651,0.1614569532,-0.4733369951,0.1126778747,-0.1358063414
r69,-1.1959780482,0.2304818127,0.2317025245,1.0253829335,0.1164509506,0.3823970729
r70,-0.7340987495,-0.0946439914,0.3798677543,-1.5040197145,0.2954936620,-0.7789335171
r71,-1.5476685211,0.0745656725,0.6117334205,0.8177121280,0.3168691731,0.6329124573
r72,0.2617832465,0.9620910060,0.5768983649,0.8614532389,0.3493653681,0.6347300838
r73,0.1601903137,-0.4451915906,-0.8193764865,0.4047932151,-0.0482127302,-0.2997857456
r74,0.2694781701,-0.0937465205,1.1133384056,2.0850413744,0.0029255214,2.6917206134
r75,0.6485757653,-0.3646990225,1.1130317000,1.2485741267,-0.2885640762,1.6173270989
r76,1.0197524306,1.1359384000,1.3445295088,-0.1035244906,1.0110506069,-0.1405930228
r77,0.9868502027,-0.2137800373,1.0629117629,0.1322939533,-0.3220718673,0.1769750942
r78,0.5631054749,0.5527774874,0.2134174110,-0.0855712725,0.3007973106,-0.0253274899
r79,0.8253178223,1.1375327251,0.2809096083,-0.5100100123,0.8571683757,-0.2085780267
r80,-1.7362298104,-1.3114112590,-1.3602961416,-1.0180274118,2.3447067817,1.2953544635
r81,-0.7888620692,-0.3620039082,-1.7641996117,1.0487118495,0.4731317941,-1.8052381457
r82,1.0979314960,0.7735901580,3.5547335603,0.7994099893,0.6869581439,3.0953051509
r83,-0.0823365308,-0.2729281131,0.0371739630,0.5519765887,0.1015177583,0.0943569651
r84,0.8075937039,-1.4789171368,0.0566259704,0.3173660211,-1.2749279612,0.0619835039
r85,0.8106952510,-0.2834506324,1.2011123587,1.2781832259,-0.3086637872,1.7732482236
r86,-1.1210488301,0.2950805740,2.1335808496,-0.1467975400,0.0580968144,-0.3180411943
r87,0.4683045986,1.8835448904,1.6519894978,-1.7678183737,0.9513637967,-3.2382005433
r88,2.5236413031,0.2280633712,0.3032818427,0.3817286211,0.0965579405,0.1745279945
r89,2.7438782883,-2.6565549358,0.0669082821,0.8936100831,-7.1872199325,0.1790798992
r90,-1.7839386509,-1.4525722904,-0.5589389853,-0.7602564914,2.6198229052,0.3402524692
r91,0.0693673646,0.3058393262,-0.2993222027,-0.1708224853,0.1233228087,0.0301416137
r92,1.1550242028,0.5803664185,-0.3220044198,0.2021514892,0.4983333464,-0.0432200615
r93,0.8239582242,0.5452407184,-0.2768205372,0.9276261991,0.3680562536,-0.1492150965
r94,-1.1981599871,0.7828170270,0.1015203135,-0.8349708132,-0.4177532110,-0.1912970385
r95,-0.6679589946,-0.1204057522,1.2054356309,0.3467306206,0.2890102796,0.4939891601
r96,0.6084230752,-1.1686066066,-1.1112826405,-1.0289941715,-0.7761503113,1.0461005613
r97,-0.0151792841,-1.8993433099,0.3774418281,-1.0142289842,-0.0598887226,-0.5206513712
r98,0.4921769902,1.4670302112,-1.4407560713,1.1519153209,0.7654432113,-1.5905915498
r99,-0.6724095142,-1.9585637683,0.0411177426,0.6941272461,1.2122292873,0.1208757204
r100,-2.7405804221,0.5098416541,-0.4880324073,2.0397671167,-0.5294949728,-0.7768359722
