,i1,i2,i3,i4,o1,o2
r1,-1.1784262393,-1.2063971990,-0.1292904074,0.3054073652,0.0478768499,-0.5530426445
r2,-0.1771643231,-1.0278138483,-0.8429096992,-0.3405521843,-1.0951910524,-0.2663739478
r3,-0.6901399388,-0.8222502367,1.1743162663,-0.3847479681,-1.0054453426,-0.0690490265
r4,-2.9355965313,-1.5047623174,-0.4490471487,-1.5053917035,-1.6223392463,-0.6049611643
r5,0.2633802066,0.7104958257,-0.2587526804,0.2404839771,-0.4730547566,-0.6422901664
r6,0.0826456316,-0.8586334311,-1.1492969354,0.9577432429,0.0088656608,1.0512442025
r7,1.5993467082,-0.2507553970,0.0985311436,0.1964382827,-0.4673639012,-0.9749042987
r8,-0.1901859853,-1.1092448603,0.5540885624,1.9855838133,-1.0035388496,0.9687329244
r9,1.3715445998,-1.8282439842,-2.1345502748,1.1544449595,0.0278141080,-0.1853330036
r10,-0.6546921421,1.7948789256,0.9868768716,0.7439700454,-1.1595010766,-0.2846595126
r11,-2.5471143940,1.3248006570,0.7765575098,-1.1362393656,-0.8255647516,1.2287470148
r12,0.4739328997,-0.1701425952,0.3972266355,1.4644450476,0.4193684087,1.5400513086
r13,-0.5467672902,0.9167001266,-0.7875549185,0.9565838757,1.8341305599,-1.8697272516
r14,0.4843525980,2.5872265127,-1.5213250940,-0.4281209913,1.2621134589,-1.5696915439
r15,0.5622218904,0.4364535818,-0.5949010764,1.5931885313,-0.2839476994,-0.9624492505
r16,0.0982921926,0.9728756002,0.3001656249,1.0624641254,2.2717500254,0.3301861796
r17,-0.9030228806,0.3570636420,0.9245967528,0.8182517099,-0.2642204700,3.3598954926
r18,2.3249189587,-0.0497584221,0.4279398964,-0.4749054705,1.5561130445,0.5606994784
r19,0.4220831162,-2.3097341769,0.1706383889,0.4330727237,-0.4718125760,0.8768556563
r20,1.4184644176,0.9257025023,0.1399492211,-0.5583104074,0.4466463464,-1.6447622623
r21,0.5510734501,0.6901185098,-0.0599668869,0.9050193852,-0.3521751561,-0.7450053115
r22,-0.3444961455,-0.4071722425,-0.1595867905,0.5139082995,0.4759578049,0.3389951093
r23,0.4061719901,-0.4151239967,0.5890864578,-0.5178719575,1.0241539065,-1.0579372551
r24,0.6298628455,1.2827906398,0.3290804350,-1.8642241826,0.0528373245,-1.0357960547
r25,0.1204379914,0.1204053918,0.6692237875,0.1779512444,0.4821907412,0.2914138414
r26,-0.1670816389,-0.6088671093,0.8554776242,0.9562237177,0.2428827809,2.2093840529
r27,0.4202926711,-0.6884294104,0.8452839505,-1.3491280969,0.2774653084,1.0208461431
r28,-0.3503482507,-1.6651419478,0.7158259369,1.0144989296,-1.1760270007,0.9811055146
r29,-0.1307017082,0.0885326229,1.2557760421,-1.7323097044,-1.2030836696,-0.0823047145
r30,-0.6109213466,0.3239506949,1.7563302557,0.0837819385,0.0330329160,-0.1651757957
r31,1.2103918590,0.2416595325,0.3050912026,1.4882705643,0.3710222308,0.2192387198
r32,-0.6806253626,2.1323272255,-1.6253458370,1.4430355662,0.3690114694,0.5006865887
r33,0.5243333565,-0.0280879750,0.9550123205,1.5554287781,0.9291335473,1.8888196447
r34,-0.6968142948,-0.1015533145,-0.2645751026,-0.8808406296,1.9193456629,0.2019739672
r35,-0.9139935738,-0.1955975217,-1.5499371852,-0.3010859159,-1.1171845397,-1.1237259193
r36,2.0895748414,-0.2833848408,1.6024816688,0.1556800311,0.3961459852,0.0199079263
