,i1,i2,i3,i4,o1,o2
r1,0.8876953294,0.7178096858,1.4323664671,-0.9461784978,0.5131818919,-1.0695030122
r2,0.8823079045,-0.0983179218,-1.7938048435,-0.0875455116,0.5353351523,1.5721388145
r3,1.4558703957,0.2024703557,0.4035792836,0.6130216965,-1.3931311387,-0.5159491821
r4,-0.3737727541,1.1201891132,-0.7699658105,1.8805958747,-1.3212291039,0.8617173757
r5,0.8189931359,-0.3278126825,-0.1863860944,1.1750880682,0.7823531980,-0.1058178488
r6,0.9097396325,-0.0669062714,0.0065528405,-1.8145036301,0.4210499672,1.7882286979
r7,1.6500672669,0.9162851887,1.5080109601,-0.4634702437,-1.2651315038,-2.3642397329
r8,2.5477204240,1.0123719664,-0.3923180563,0.1319175865,1.3875807166,-1.6562195317
r9,-0.6148072279,-1.4104653204,-0.0174649724,0.1402984557,-1.2971500313,-2.2901711928
r10,1.2585912627,0.1349714242,1.5463871546,0.5296490381,-1.0062647591,0.8055122060
r11,-1.6479242136,0.8480107618,1.0235046849,1.2246978916,1.2166847666,-0.3428900348
r12,-1.2277361928,0.3023239122,-0.4916228353,1.0182443432,0.9713004368,0.3901868209
r13,-1.3196993468,0.0732704521,0.9761473169,2.2998353227,1.2205427909,0.9223282132
r14,-0.6779131152,-0.5200199870,0.0994361142,-1.2045348369,-1.1624773495,0.1127744052
r15,1.1873492235,-0.8372856421,-0.0571188782,-0.2322152613,-0.7612989390,1.6752793325
r16,-0.0584243653,0.0103485480,0.3589309216,0.7178745120,-0.3090727122,-0.5976261051
r17,-0.5159430645,0.0779873188,0.4129771300,0.6880093337,-1.4040772277,-0.3460626837
r18,0.7027579243,-1.1192693049,-0.8631889434,1.0383110471,1.1482456926,0.4742815867
r19,2.4570350710,0.2495764150,1.2182670216,-1.6079341303,1.3894536143,-1.5891631144
r20,0.9171054713,0.4159897413,0.5777325265,-0.7687551439,0.3897854650,-1.0855366919
r21,-0.2070711102,-0.4757571237,-0.1444039778,-0.8294968838,-0.8964631497,0.1431781066
r22,-0.6539518572,-0.0268369499,0.9681669487,-1.5122301023,-1.2193328690,-0.6315611723
r23,0.2121664077,-1.6105902309,-0.5086873844,0.0728986337,0.8302073657,0.1121215962
r24,-0.3460614020,-1.9078446616,-0.1140260777,-0.5552712994,-1.2732815573,-1.6344235613
r25,-0.5770701444,-0.2171492770,-2.3287568364,0.8769906875,-1.3535318712,-1.1585715841
r26,-0.2456827197,-0.3491061436,0.2822339499,0.6560949967,-1.0218619121,1.5370071740
r27,1.6573938341,0.5478455991,0.6145154254,0.0319264987,-1.2504308100,-1.4181037453
r28,1.3259345094,1.2835777735,0.7083790611,1.3497231056,-1.1916396308,1.7553402796
r29,-0.5940512391,0.7662475508,0.0254441310,1.7134191071,-1.3304837547,0.5183746737
r30,-1.0878522413,-0.3101133910,-2.0759361421,0.3110831241,0.4449902386,-1.4494670631
r31,-0.2912285836,-2.3124460105,-0.1155049249,-0.4326823763,-1.1502567265,-0.3925147755
r32,0.9881244420,0.0507070138,0.5144127517,1.2274558930,0.0799886948,-0.0192942991
r33,-0.4513486415,-0.0449014635,0.3540152918,0.7628471839,-1.4010726687,-0.0286238777
r34,-0.8248341680,-1.8301203710,-0.0298420587,-0.0034417312,-0.6840527128,-0.3261817988
r35,0.0623398089,0.6176300773,-1.2239572632,-0.0900256381,0.2232267158,0.1008909308
r36,0.4031640333,-1.7108272217,1.9609458201,-0.9277186126,1.3252711178,1.1208010657
r37,1.8142387189,-1.2244884573,-0.7279761203,1.4421195683,-0.7920215920,-0.8371076501
r38,2.5874611173,0.4525211448,-1.0445103933,1.0092120189,1.3507879969,-0.6698302938
r39,2.0919391451,-1.1667102666,1.7345066250,-0.7064298808,0.3862314073,-0.4888517977
r40,-0.4106792616,0.5440399152,0.5953242160,0.8242759226,-1.3694108935,-1.6533698432
r41,-2.5118640883,-0.7016268582,2.0001382966,0.5499823213,-1.4023438071,0.3277679679
r42,-0.4253485923,0.6938272867,1.6735410446,1.2074795551,-1.3834545989,-1.5164434240
r43,0.8126756899,-0.6360275984,-0.1558557131,0.8498116129,0.8054382550,-0.5381330950
r44,0.1933470899,-0.4106878542,1.4549437532,-0.7986909814,0.7615410421,0.2148918309
r45,-0.5750692582,-1.2156962132,-0.1523670611,1.2773130025,-1.3559937772,-0.9252347575
r46,-0.5357710587,0.7993675792,-0.2991558719,0.5856347006,-1.3933176819,-0.2920002541
r47,-0.8416521670,1.2328722637,1.5484997281,0.9635855720,-0.6178317245,0.4215465308
r48,0.0938718071,0.0027720347,0.5572138043,0.6747851356,0.3599347379,-1.0894786329
r49,-0.5414554535,-0.6399750619,-0.5913741613,-1.1365747988,-1.3892283198,1.1007783851
r50,-1.1036748949,-0.7966147314,0.4778365457,1.3864918792,0.5109334784,0.7806233355
r51,0.8098233165,1.7504555298,0.5390093844,-1.6231876780,0.8157566112,0.2037713359
r52,-1.3059964664,-1.0148644992,-0.1724859587,0.4427907474,1.1894729421,-0.0488670655
r53,0.5410527957,0.4324172381,0.7298210849,0.5798681476,1.3957026503,0.1944765019
r54,-0.5661933312,-0.9264798810,-0.2328083857,0.1161604453,-1.3662639061,-0.1848419591
r55,0.5758845894,0.0703408443,0.3943386903,-1.6779800902,1.3716914141,-0.5511012117
r56,-0.1366952537,1.0208952428,0.0781527353,-2.1352700420,-0.6353163087,1.1731631213
r57,1.0205614075,1.4541317918,2.2762361673,1.5508651279,-0.0638446767,-1.4741696774
