# application = nemoa 0.4.209
# type = base.Dataset
# name = sinus

	i1	i2	i3	i4	o1	o2
r1	-0.6390942503	-1.8280520900	-1.8354511906	0.8610194730	-1.3827858447	-1.0683055963
r2	-2.1507873660	-0.4501233393	0.5004100785	-0.7583384377	1.0972261812	1.7894662184
r3	0.2012686650	-0.4896643949	-0.7812200405	0.9645733755	0.6033202259	0.0140394274
r4	-0.2934947027	0.8004113727	-0.5901542889	-0.3145220013	-0.9784652582	1.3288609898
r5	1.7562806354	-0.4885158815	0.0656583482	-1.4892630198	-1.2657132243	1.1925057144
r6	-2.8248708891	1.1878444569	-1.6823717062	-0.9384026469	-0.9685185457	0.3619713412
r7	1.6590016115	0.5288188756	-0.5109643399	-1.1163796522	-1.0933255105	0.2010758967
r8	-1.5136747125	0.6498025384	0.5144949024	-1.1100806000	0.8738976885	-1.9179516346
r9	-0.1945555101	-0.7514873644	-0.9712813917	0.5462453296	-0.7096051910	2.4928224476
r10	1.0084330515	2.7471838931	-0.1711544474	-1.2637505736	0.9095680837	-0.8550705971
r11	0.2429717447	1.4236692512	0.8545485116	0.9389296313	0.7304040076	-0.3826699037
r12	-0.4734630624	1.2279614235	-1.3160712762	0.2741641817	-1.3071547502	0.0201153355
r13	1.3361508580	-0.4149901635	0.4758374662	0.8232776080	-0.1451117387	-0.9622270259
r14	0.2705841582	-1.3319675529	-0.1993533520	-0.3760769943	0.8103938892	2.1858954808
r15	-1.7464201185	-0.3654414126	-1.5875327495	2.4547930143	1.3312133663	-0.2328877591
r16	0.9985761900	-1.4611357396	1.5587976258	-0.3669578380	0.9353366104	0.4941766272
r17	-0.3707862697	-0.4421138949	-1.1630539533	0.1961014322	-1.1481002605	1.2035121442
r18	1.4313089504	-0.7352657253	1.0614911067	-0.5822517013	-0.4648797125	-0.0102154468
r19	-0.8851453517	-0.7748565747	-1.1611597346	0.4125734133	-1.0745805775	0.0835918102
r20	1.2498358348	0.2692102637	-2.0308976966	0.5573977230	0.1528094928	-0.3374005852
r21	0.5783958359	0.2030742958	2.5461020961	0.0542060079	1.3777279427	1.1717129074
r22	0.5519048573	0.3329503143	-0.2131302240	0.8183713545	1.3569226495	-0.1797236007
r23	1.6557424750	-0.4063127839	-1.1216307557	-1.7324974320	-1.0863793596	-0.0187739150
r24	-0.3705224207	-1.1065232977	0.0757486534	0.3055221134	-1.1475900615	0.0637651494
r25	-0.5411556531	-0.7265225629	-0.3863574595	-1.0020399959	-1.3660714102	-0.4200684834
r26	-1.2369019474	0.6470001952	-0.4901264991	1.5061121983	-0.0153090930	-2.8641473669
r27	-0.9404223532	1.1000968341	-0.6961319223	0.7541087007	-0.9443672099	0.7180321039
r28	-0.4125771919	-0.1800885642	0.7022649020	-2.6122773775	-1.2225267911	0.0563516565
r29	0.4027476900	1.8990018258	0.4553794362	0.7850224098	1.1353217460	0.0469282141
r30	-0.6399442045	-0.8834291085	2.0908288899	0.4903991808	-1.3825717173	0.9536657768
r31	1.1920008213	0.2770298932	1.0342788894	1.3567065281	0.3495948558	0.0562770833
r32	-0.6646612665	0.8871933328	0.5189002728	-1.7366135353	-1.3736491235	0.4669263639
