	i1	i2	i3	i4	o1	o2
row-1	-0.3704682917	0.3414529806	0.0932330917	-0.0268364140	-0.5943656296	0.1747860866
row-2	0.1721233382	-0.2384227636	0.5852644249	-0.4818988026	0.1446598148	0.8983609061
row-3	-1.0073550792	0.9805846737	-0.0022526154	0.0580022135	-1.4444944092	-0.0119755298
row-4	0.2759503256	-0.3506612711	0.6942438757	-0.5827968613	0.2866081952	1.0571992476
row-5	0.4882340972	-0.4545288625	-0.5413866121	0.5702824029	0.5244047813	-0.6226111737
row-6	-0.3952343276	0.3092168343	0.7523592652	-0.6413490631	-0.6035953689	1.0785652267
row-7	-0.2007028808	0.1441252124	0.4317512997	-0.3412496002	-0.3565050549	0.6548629467
row-8	-0.8602185101	0.8979461897	-0.7350717292	0.7420011574	-1.2752308502	-1.0063744519
row-9	-0.6033216926	0.5147561610	0.7592616597	-0.6491419472	-0.8799847405	1.0699121095
row-10	0.2204225551	-0.2699896846	0.3962582121	-0.3054165065	0.2020756296	0.6427912084
row-11	-0.4865079396	0.5053804480	-0.4754184057	0.5024277782	-0.7690746578	-0.6169146545
row-12	-0.0107993981	-0.1071857624	1.1654246118	-1.0238429240	-0.0776668788	1.6798175851
row-13	-0.6999419204	0.6088551745	0.7780026202	-0.6672410033	-1.0077608133	1.0872477602
row-14	-0.8297002480	0.8150587277	-0.1237109156	0.1723702614	-1.2126811258	-0.1634271270
row-15	0.4561367693	-0.4697184781	0.0041413492	0.0616031955	0.5013448571	0.1243934211
row-16	-0.6244202464	0.6542642954	-0.6178363840	0.6342701708	-0.9575391547	-0.8246840972
row-17	-0.9032091045	0.8580122043	0.2230407932	-0.1513063580	-1.2979405809	0.3067587208
row-18	-0.1817370872	0.1007513339	0.7172094499	-0.6071923016	-0.3210294167	1.0488651925
row-19	-0.3070280291	0.3436388581	-0.6618063033	0.6773265926	-0.5371692176	-0.8574498477
row-20	-0.4855128810	0.4739352188	-0.1217672486	0.1728071131	-0.7550383728	-0.1307509155
row-21	0.2195984903	-0.2521771943	0.1989237219	-0.1214925931	0.1938861053	0.3714923320
row-22	0.5851235472	-0.5524790658	-0.5185096758	0.5495924797	0.6540348900	-0.5827214998
row-23	-0.7073748892	0.6444773225	0.4499010394	-0.3614763551	-1.0294373636	0.6356394917
row-24	-0.3769899707	0.4265553989	-0.8198420045	0.8241696768	-0.6358599288	-1.0807615087
row-25	-0.2381306038	0.1643272877	0.6276705919	-0.5241043404	-0.3992194651	0.9208820778
row-26	0.8276246808	-0.8051516790	-0.3739805688	0.4164656207	0.9816187643	-0.3629328180
row-27	0.1576034270	-0.1225800279	-0.5927302046	0.6159782364	0.0830088221	-0.7220034621
row-28	-0.0041280214	-0.0035531396	-0.1145363753	0.1692121997	-0.1148111398	-0.0788474155
row-29	0.5097950832	-0.6058900565	0.9680130874	-0.8364409232	0.6073300861	1.4538677911
row-30	-1.4685941328	1.3817303231	0.6451883900	-0.5484704166	-2.0344043764	0.8376931058
row-31	-0.0963909802	0.0010243939	0.8934813706	-0.7709322942	-0.2012309654	1.2985828089
row-32	-0.6284110744	0.6057762537	-0.0089637647	0.0667330042	-0.9409562851	0.0118349709
row-33	0.1931332496	-0.1835733694	-0.2932124124	0.3370391913	0.1410106019	-0.3072329163
row-34	-0.0778869353	0.0205994340	0.4533798722	-0.3606065918	-0.1924523726	0.6952969600
row-35	1.0951038133	-1.1250344799	0.2636093624	-0.1760646130	1.3601342001	0.5367224041
row-36	0.2653186798	-0.2973271239	0.1972862368	-0.1196676669	0.2546090133	0.3732273692
row-37	0.4841661513	-0.4719820827	-0.2919578227	0.3377710668	0.5279634626	-0.2801375805
row-38	-0.5421940554	0.4358823543	0.9719670987	-0.8469986937	-0.7910732898	1.3675946356
row-39	-0.6636099251	0.6346700430	0.0604046535	0.0018469299	-0.9852569507	0.1041101411
row-40	0.2085331272	-0.1230286205	-1.1732913686	1.1574338213	0.1298456494	-1.5155178344
row-41	0.1926300816	-0.2505888658	0.4906603901	-0.3935873802	0.1685211612	0.7701197671
row-42	-0.1750132950	0.1687614601	-0.1497582408	0.2009250499	-0.3432572766	-0.1421552463
row-43	0.9319737491	-0.8376267109	-1.1971022746	1.1843532627	1.0907530596	-1.4851784592
row-44	0.7985914032	-0.7909534021	-0.2049029592	0.2586840106	0.9490992451	-0.1330745351
row-45	1.5163767603	-1.5287372263	0.1055290581	-0.0259708510	1.9145040958	0.3561731226
row-46	0.1342328806	-0.1288906189	-0.2506638018	0.2969961841	0.0642362892	-0.2538865124
row-47	-0.3821527687	0.4036560754	-0.4945885807	0.5209774218	-0.6310309524	-0.6341659422
row-48	0.1676843458	-0.2018380946	0.2115521490	-0.1336022954	0.1253238839	0.3843238697
row-49	0.2269142849	-0.2635410514	0.2467213096	-0.1659954352	0.2053302174	0.4378256420
row-50	1.1320842933	-1.1628124522	0.2768995739	-0.1882104193	1.4097749161	0.5582129735
row-51	0.2943902421	-0.3662153908	0.6627482040	-0.5533202694	0.3099905266	1.0155174286
row-52	1.0121185524	-0.9813122956	-0.4506241193	0.4891079219	1.2241351183	-0.4521924382
row-53	0.7319778834	-0.7571763437	0.1690849166	-0.0903335414	0.8739857694	0.3751472570
row-54	0.3783005174	-0.4445993674	0.6077312174	-0.5014924964	0.4195655233	0.9472140772
row-55	1.1782910221	-1.2248183000	0.4653723277	-0.3635781132	1.4779789271	0.8212880671
row-56	0.6887228723	-0.6568394886	-0.4983805187	0.5315075093	0.7924865254	-0.5460235829
row-57	-0.9658064640	1.0140384676	-0.8685416938	0.8657145529	-1.4204007224	-1.1990273737
row-58	0.4242178480	-0.4631905609	0.2954652395	-0.2101391945	0.4693837160	0.5220219483
row-59	0.5491303167	-0.5602344900	-0.0144877873	0.0795743318	0.6243035335	0.1068953093
row-60	-0.5775064732	0.6092169451	-0.6343929101	0.6500084651	-0.8957657866	-0.8433505336
row-61	0.4241572739	-0.4286041936	-0.1054042064	0.1634982630	0.4548923096	-0.0289596585
row-62	0.5297172243	-0.4977097640	-0.5171528550	0.5479658750	0.5804248598	-0.5856866911
row-63	0.4537724972	-0.4787447811	0.1361342831	-0.0614387287	0.5029467449	0.3056054357
row-64	-0.6691467767	0.7187751318	-0.8524179399	0.8526241045	-1.0254329139	-1.1510045481
row-65	0.2209675242	-0.1986834674	-0.4379129206	0.4720918361	0.1728124646	-0.5036905360
row-66	-0.3549562676	0.2593541452	0.8680322526	-0.7489011055	-0.5458901885	1.2410636070
row-67	-0.3740429077	0.2762038175	0.8919241804	-0.7712947108	-0.5704056409	1.2722380568
row-68	-0.2391731788	0.2458543017	-0.3069102458	0.3469823719	-0.4342027922	-0.3637465105
row-69	0.8726432973	-0.9227906126	0.4740870482	-0.3736975450	1.0719550750	0.8066210267
row-70	-0.1839977118	0.2608095446	-1.1151509636	1.1006786733	-0.3899063815	-1.4698256659
row-71	-0.3740338492	0.3959144249	-0.4980839049	0.5242883428	-0.6203630740	-0.6382623307
row-72	-0.3006192531	0.3278330933	-0.5520036978	0.5750248904	-0.5247019011	-0.7059726073
row-73	0.6201944630	-0.5981730179	-0.3913478108	0.4312979975	0.7052305531	-0.4048861296
row-74	-1.3299938333	1.3091068517	-0.1057301764	0.1523426950	-1.8771398454	-0.1823268226
row-75	0.2068446693	-0.2910026610	0.7963965423	-0.6784616105	0.1984093806	1.1915789903
row-76	-0.0339684520	0.0688561775	-0.6120364469	0.6327214928	-0.1723665490	-0.7652393792
