	i1	i2	i3	i4	o1	o2
row-1	-0.6344385533	0.6224156984	0.1857890333	-0.1902134896	-0.6311954020	0.1450691748
row-2	0.2149898321	-0.2979538303	0.9626532193	-0.9603020988	0.2408717224	0.9817780333
row-3	-1.5736947138	1.5815388985	0.0170012835	-0.0283445686	-1.5773263797	-0.0863073509
row-4	0.3770084830	-0.4746408496	1.1242308310	-1.1205762184	0.4075609601	1.1548399128
row-5	0.7149401619	-0.6481815379	-0.8363640449	0.8408291487	0.6947909001	-0.7937335474
row-6	-0.6742303902	0.5739060051	1.2290541051	-1.2328992563	-0.6436450601	1.1911377012
row-7	-0.3710657279	0.3113452970	0.7295171011	-0.7315891938	-0.3528360016	0.7089254065
row-8	-1.3701716266	1.4722025736	-1.1069979024	1.0961899120	-1.4028449731	-1.2027715794
row-9	-0.9864512601	0.8869798580	1.2407144986	-1.2468032733	-0.9563684360	1.1823447102
row-10	0.2936665295	-0.3521457613	0.6686667426	-0.6659919804	0.3120184026	0.6914341371
row-11	-0.8124036719	0.8784779352	-0.7220901338	0.7156272581	-0.8335054965	-0.7792177067
row-12	-0.0882326866	-0.0645529437	1.8064797321	-1.8056161379	-0.0409380713	1.8100640081
row-13	-1.1275527708	1.0265303169	1.2688033035	-1.2758870832	-1.0970967372	1.2013085526
row-14	-1.3246046900	1.3469466698	-0.1711544175	0.1614525504	-1.3325405674	-0.2590741517
row-15	0.6653020354	-0.6727399939	0.0413805690	-0.0365446941	0.6681150621	0.0853080026
row-16	-1.0214973988	1.1071063253	-0.9377360114	0.9295849948	-1.0488142072	-1.0097216283
row-17	-1.4241344396	1.3999163020	0.3844062839	-0.3943650393	-1.4177130807	0.2928322685
row-18	-0.3443043654	0.2468769334	1.1719752749	-1.1734867462	-0.3143654677	1.1554396743
row-19	-0.5315790481	0.6204505273	-1.0102485574	1.0055730720	-0.5595336155	-1.0504214990
row-20	-0.8117327490	0.8303076238	-0.1624294054	0.1564361981	-0.8181097635	-0.2166064529
row-21	0.2938652830	-0.3257461018	0.3552314521	-0.3528155793	0.3039720863	0.3763841656
row-22	0.8625384980	-0.7997614655	-0.7997109240	0.8052716920	0.8437360408	-0.7471923818
row-23	-1.1403383690	1.0829722918	0.7552690106	-0.7628715805	-1.1234250916	0.6842673051
row-24	-0.6379389534	0.7471492833	-1.2425145453	1.2368785484	-0.6722794522	-1.2908818923
row-25	-0.4310351367	0.3456445393	1.0361708157	-1.0384210182	-0.4048936663	1.0132314548
row-26	1.2238415155	-1.1831858346	-0.5641693558	0.5725332884	1.2121719579	-0.4866887952
row-27	0.2003633913	-0.1239561760	-0.9142747934	0.9149614712	0.1768307691	-0.9058582925
row-28	-0.0587379014	0.0718524421	-0.1504501637	0.1499012939	-0.0628480595	-0.1550907587
row-29	0.7363866817	-0.8685444396	1.5060688159	-1.4995034235	0.7779157093	1.5622731993
row-30	-2.1411270903	2.0668724410	1.0238686307	-1.0384708396	-2.1197417094	0.8885067080
row-31	-0.2141860040	0.0940126226	1.4309530903	-1.4313103991	-0.1770968827	1.4243116246
row-32	-1.0276197039	1.0321969225	0.0175240227	-0.0249258327	-1.0298222248	-0.0499029703
row-33	0.2541240043	-0.2183212393	-0.4395521260	0.4410210770	0.2432193204	-0.4251380346
row-34	-0.1783842410	0.1147292816	0.7624806262	-0.7631347525	-0.1587879201	0.7547199268
row-35	1.6141843840	-1.6629955513	0.4629161168	-0.4508820209	1.6305462492	0.5713773746
row-36	0.3660067890	-0.3980696285	0.3523596477	-0.3494255124	0.3762250297	0.3782373818
row-37	0.7085374944	-0.6756043400	-0.4373375726	0.4420878797	0.6988688812	-0.3930555176
row-38	-0.8974207129	0.7704921309	1.5580641323	-1.5632467959	-0.8587585668	1.5071920119
row-39	-1.0795556972	1.0749908942	0.1288602850	-0.1365444483	-1.0789638948	0.0585991203
row-40	0.2920779374	-0.1434767028	-1.7713482207	1.7719849628	0.2462358860	-1.7613567466
row-41	0.2487081089	-0.3194685291	0.8165080546	-0.8140349691	0.2708327341	0.8370893059
