	i1	i2	i3	i4	o1	o2
row-1	-0.8097137622	-0.1954168496	-0.6446745697	-1.1921527805	-0.4284708655	0.3140366714
row-2	0.3922149461	-0.0045491742	1.1538020560	-0.3537420548	0.2484733039	1.0870306476
row-3	-0.7843807761	0.9909826842	0.2475357382	0.8087719693	-1.2203277643	-0.4129243428
row-4	0.3967427253	-0.0533452148	1.1260018972	-0.3875238683	0.2832899310	1.0955288813
row-5	0.6238572537	-0.3390389681	-0.6675338401	0.7668706681	0.6470882412	-0.9474976416
row-6	-0.3666005281	0.1937360738	0.6243678902	-0.8650813799	-0.3994869909	1.0234611887
row-7	-0.4421678558	-0.3836167269	-0.0873004048	-1.0745319135	-0.0752780373	0.7068699052
row-8	-1.0464644805	0.7243302977	-0.4022675286	0.7407619748	-1.2414538555	-0.8296265710
row-9	-0.6874818698	0.6003896139	0.4717643538	-0.9312059456	-0.8672278786	0.8923157221
row-10	0.2666287362	-0.0436581313	1.0629915697	-0.5012763369	0.1866226372	1.1323696477
row-11	-0.6065097007	0.7179289868	-0.2099355374	0.8543959744	-0.9254337372	-0.7600238597
row-12	0.2168008550	0.1498401310	1.1583849670	-0.4117101103	0.0268377115	1.1189876633
row-13	-0.5884700325	0.7755445568	0.8182713663	-0.7541276459	-0.9193319723	1.0184957481
row-14	-0.4995003067	1.0107642881	0.4536606715	0.8627717702	-1.0319523953	-0.3055453347
row-15	0.9723457416	-0.2397828800	0.7057075894	0.5885421367	0.8101125219	0.0906699189
row-16	-1.0032397041	0.6659319162	-0.4940273259	0.7047992827	-1.1759467730	-0.8747274766
row-17	-0.1932883483	1.0873652783	1.0020904307	0.6153670508	-0.8652376177	0.2252581464
row-18	-0.4896344416	-0.0666584337	0.1667589497	-1.0203622828	-0.3118460955	0.8144138569
row-19	-0.2197335952	0.5703260372	-0.2362898401	0.8871166894	-0.5531054022	-0.7881124378
row-20	-0.5525523543	0.6936627569	-0.2257122886	0.8554965828	-0.8716332113	-0.7709125883
row-21	0.2473870648	-0.3974144182	0.7472273769	-0.7268288741	0.4043485572	1.1011654413
row-22	0.7663279839	-0.1125368770	0.0407640526	0.9567007092	0.5971984341	-0.6018667985
row-23	-0.2959630698	1.0631977571	1.2019912514	0.0323292523	-0.9170930420	0.7525946630
row-24	-0.7057699801	0.2494760476	-1.1293128712	0.2935026487	-0.6995591911	-1.0542127621
row-25	-0.5682143255	-0.5123079771	-0.4604041749	-1.1517995212	-0.0735490645	0.4895518005
row-26	0.9252129676	-0.4666494594	-0.0330169721	0.8543602327	0.9363320975	-0.5796213763
row-27	-0.1506012672	0.0525447630	-1.0981699041	0.3356923979	-0.1616158878	-1.0007190388
row-28	0.3751333081	0.4817533926	0.2750666281	1.0366849985	-0.0635764757	-0.5093769499
row-29	-0.0047437213	-0.8201450591	-0.0510596650	-1.0181639123	0.5141414228	0.7821254736
row-30	-1.2393922737	1.1001735415	-0.0497867928	-1.0456023618	-1.5211688693	0.5063106211
row-31	0.2858839211	0.4858952687	1.3293177044	-0.0252902152	-0.1422558153	0.9376429829
row-32	-0.4406651060	1.0007837654	0.4703363965	0.8831335661	-0.9837919132	-0.3062153876
row-33	0.5314962642	0.2736463199	0.1649047495	1.0197236337	0.1822994355	-0.5671198698
row-34	-0.1378932636	0.1495947189	0.8730635844	-0.7194991655	-0.2172682123	1.1210111043
row-35	0.7523058597	-1.2437613631	-0.4620743226	-0.9726666406	1.3564881686	0.4913868135
row-36	-0.6378320287	-0.8995813268	-0.9485624646	-1.2336110440	0.1307987577	0.2309161059
row-37	0.7693762822	-0.4266973340	-0.4569004631	0.8613650951	0.8053914831	-0.8673153477
row-38	-0.3989304212	0.4707313331	0.8202981385	-0.7673858296	-0.5990441938	1.0692254642
row-39	-1.1574989207	0.1966247112	-1.1445029060	-1.2676677271	-0.8783567783	-0.1035833121
row-40	-0.1268264451	-0.2240361047	-1.5715252314	-0.1374652451	0.0775614963	-0.9219466800
row-41	0.0563693116	-0.2641832859	0.7107068863	-0.7792796680	0.1842672380	1.0959432063
row-42	-0.0685572600	0.6432016599	0.0283865562	0.9796137219	-0.4881199417	-0.6568471551
row-43	0.7907708337	-0.4073795503	-0.3702199094	0.8829977300	0.8073677805	-0.8241892137
row-44	1.0001161538	-0.7250310446	-0.1455727205	0.7657637507	1.1565669193	-0.5929964067
row-45	1.1892744780	-0.9593093746	0.4081922282	0.0539053408	1.4320540480	0.2643077149
row-46	0.5159690011	0.4257005906	0.4414330385	1.0209487791	0.0717961770	-0.3838787843
row-47	-1.0588963849	0.4157204705	-0.9834321461	0.4020358366	-1.0611430343	-1.0429332962
row-48	-0.6004746718	-0.9337196240	-0.9238664681	-1.2269347473	0.1784837880	0.2563761691
row-49	-0.0947356352	-0.5947200114	0.1695849946	-0.9819432732	0.2984821159	0.8809403920
row-50	0.4357065361	-1.2649349124	-0.7488165954	-1.0547113052	1.1587391366	0.3924426230
row-51	0.3521704365	-0.1481720743	1.0384638945	-0.4982006085	0.3139864461	1.1214714552
row-52	0.9411308200	-0.8482194484	-0.5273281545	0.7828558640	1.2005674826	-0.8545219757
row-53	-0.4835142221	-1.0239008059	-0.8568374458	-1.2054442850	0.3196521584	0.3267644983
row-54	0.3669967268	-0.3798285110	0.8530934691	-0.6381289023	0.4759808931	1.1103006981
row-55	0.8573488077	-1.1375622072	-0.0270533514	-0.8722954755	1.3424194334	0.6938791330
row-56	0.8085312891	-0.3753974162	-0.2707923172	0.9008512737	0.7984922874	-0.7700567299
row-57	-0.9296201976	0.7665094640	-0.2739433831	0.7961829549	-1.1850659206	-0.7716902172
row-58	0.8676054976	-0.2425308155	1.0664243880	0.0545349032	0.7331920301	0.7240377452
row-59	1.0518567420	-0.5850607532	0.3162536585	0.6128106047	1.0938609560	-0.1853046077
row-60	-0.7528598919	0.6779658213	-0.3599562038	0.7847767799	-1.0058900493	-0.8260615078
row-61	0.8864834707	-0.2971054962	0.1106876099	0.8864907966	0.7986253730	-0.5067906039
row-62	-0.0088126122	-0.4343800618	-1.8568539416	-0.3822995196	0.3426167633	-0.8549378337
row-63	0.4779259486	-0.8789868056	0.2759994342	-0.8647671639	0.8915256798	0.9086177482
row-64	-1.1639622891	0.3187227935	-1.2109906579	0.2226415297	-1.0724973353	-1.0950832123
row-65	0.5016294025	0.3087426333	0.1706534095	1.0231497032	0.1384290839	-0.5664722380
row-66	-0.4207620130	0.1910061632	0.5396207634	-0.9020905049	-0.4333638654	0.9835400917
row-67	-0.1745159658	0.6762125833	1.1887923146	-0.4064235205	-0.5811423364	1.0791028297
row-68	0.2069952292	0.7325853788	0.5379648003	1.0209734307	-0.3468227680	-0.3295525930
row-69	0.3073989243	-1.1206296620	-0.3913231634	-1.0291179833	0.9508742617	0.5975734642
row-70	-0.3727419159	0.2419702027	-0.9388031257	0.4619692342	-0.4542843367	-1.0087592115
row-71	-0.6529004512	-0.0540274324	-1.7145915795	-0.2669880900	-0.4224207971	-1.0130853277
row-72	-0.5411385185	0.6650417512	-0.2728763371	0.8401163980	-0.8457731352	-0.7945723162
row-73	0.7564465993	-0.6178322438	-0.7535651594	0.7363350677	0.9237894645	-0.9732212302
row-74	-0.7239052685	1.0676404237	0.4632848734	0.7009444838	-1.2253290917	-0.1983313243
row-75	0.0346827132	-0.3296347593	0.6236095538	-0.8210491842	0.2121250537	1.0690999777
row-76	-0.3009820274	0.2709201248	-0.8363721328	0.5451758715	-0.4217340276	-0.9889199015
row-77	0.5603020840	0.2218740766	0.1280552316	1.0131693568	0.2362243988	-0.5866200342
row-78	0.4335764331	-0.3911942666	-1.0760613479	0.4293897434	0.5573940563	-0.9771840567
row-79	0.0407111567	0.4092795323	1.1982939437	-0.3956608784	-0.2620398780	1.1096008988
row-80	-0.8686279218	1.1392894952	0.6097574736	0.2920372198	-1.3643749853	0.1655451900
row-81	0.8091059361	-1.1251923500	-0.0315991325	-0.8826382296	1.3001615616	0.7030150371
row-82	0.1208064789	0.5623605855	0.0707186471	1.0049547395	-0.2988569693	-0.6367851531
row-83	1.0658012306	-0.8349380262	-0.0369601542	0.6434677388	1.2715787197	-0.4382243038
row-84	0.4756824540	-1.1304213004	-0.2990375413	-0.9895025520	1.0755378285	0.6263848326
