	i1	i2	i3	i4	o1	o2
row-1	-0.9701309281	-0.5752809861	-0.9005026777	-1.4592174375	-0.2365739321	0.3357152209
row-2	0.7115626892	-0.0837643682	1.3609570409	-0.4732563204	0.4509508769	1.4091301563
row-3	-0.9154733076	1.4896125206	0.4076756385	1.1333055107	-1.3527363381	-0.5881105598
row-4	0.7149316480	-0.1502206246	1.3225494698	-0.5162800856	0.4882892335	1.4156848984
row-5	0.9663278133	-0.7873751420	-0.8297401108	0.9721221104	0.9905065246	-1.2752146098
row-6	-0.2741248733	0.1499271090	0.7177583699	-1.0573997136	-0.2402858043	1.2670232784
row-7	-0.3971954435	-0.6538107176	-0.1894539382	-1.3078351790	0.1226461665	0.8190926824
row-8	-1.3366158322	1.1519004505	-0.3727664504	1.0188203841	-1.4329089669	-1.0623425555
row-9	-0.8113473967	0.7151894631	0.6491633331	-1.1010035592	-0.8471133679	1.1523397957
row-10	0.5493922826	-0.1258685782	1.2510963677	-0.6667982207	0.3782321719	1.4639309872
row-11	-0.6554822878	0.9931768266	-0.0944171988	1.1969913450	-0.9424545562	-0.9540419648
row-12	0.5019947918	0.1193033678	1.3865533724	-0.5540884359	0.2197578310	1.4666846565
row-13	-0.6769571239	0.9515736178	1.0556801308	-0.9117988327	-0.9020080498	1.3247090472
row-14	-0.5227029818	1.4105401773	0.6695391174	1.1445280044	-1.0767495238	-0.3831436832
row-15	1.4441114018	-0.4916342729	0.7471540137	0.7497268969	1.1151775667	0.0585082900
row-16	-1.2988842130	1.0487334928	-0.4824211730	0.9864748595	-1.3562659669	-1.1121169439
row-17	-0.1942417807	1.3625043178	1.2362755804	0.7440060385	-0.8551234322	0.3354294390
row-18	-0.4573583190	-0.2349176957	0.1318689224	-1.2303382245	-0.1359818055	0.9647920649
row-19	-0.1419373849	0.6332786238	-0.1815309332	1.2049873842	-0.4454841408	-0.9872729085
row-20	-0.5776918623	0.9296623057	-0.1183249460	1.1979297795	-0.8628455401	-0.9651413529
row-21	0.5071995083	-0.6260947597	0.8481644191	-0.9396272815	0.6204479310	1.3914792973
row-22	1.1573589926	-0.3277136541	0.0667855274	1.2193240940	0.8557965548	-0.7988387072
row-23	-0.3323249068	1.3105095481	1.5049942026	0.0207483974	-0.9070689944	1.0362944741
row-24	-0.8901564132	0.3128784317	-1.3528003465	0.3932803277	-0.7033104122	-1.2729942524
row-25	-0.5821264203	-0.8869757711	-0.6592229664	-1.4132525742	0.1451747874	0.5457641699
row-26	1.4183324114	-0.8839027085	-0.0952508306	1.0301568497	1.3119761641	-0.7722386192
row-27	-0.1322854798	-0.0275675183	-1.2702482736	0.4093681299	-0.0628072914	-1.1890615307
row-28	0.6299129048	0.5451196898	0.4308572508	1.4025939952	0.0684781014	-0.6743639320
row-29	0.1555763014	-1.2930861618	-0.0818414114	-1.2863260466	0.7751199684	0.9790867155
row-30	-1.8372019088	1.3330099052	0.0318168078	-1.4003359885	-1.7490904065	0.7489925237
row-31	0.5877630524	0.5255170994	1.6137860513	-0.0612952290	0.0535450112	1.2625837986
row-32	-0.4316559254	1.3770435720	0.7008858501	1.1622020880	-1.0050441104	-0.3666804068
row-33	0.8165058964	0.2633398761	0.2778626805	1.3666352717	0.3320752442	-0.7566107136
row-34	0.0404552175	0.1077376720	1.0136597095	-0.9154841243	-0.0396144741	1.4173731043
row-35	0.7584911128	-2.1575139857	-0.1708930366	-1.2375802830	1.5792292668	0.9730034055
row-36	-0.6828302050	-1.3236336282	-1.2226049247	-1.5537361843	0.3249993341	0.2515067628
row-37	1.1928407782	-0.9274103545	-0.6154690614	1.0436339004	1.2003529232	-1.1689183078
row-38	-0.3298453953	0.5316040604	1.0127448786	-0.9343373339	-0.4778347445	1.3688064046
row-39	-1.6396880724	0.0102476443	-1.3193820064	-1.5597753023	-0.9169190747	-0.0196915668
row-40	-0.0902776950	-0.3705405434	-1.8923345270	-0.1119927700	0.1704754748	-1.2557053988
row-41	0.2618295496	-0.4127589762	0.7944324921	-0.9992846235	0.3654966437	1.3659392556
row-42	0.0908403691	0.7444593623	0.1630953221	1.3465821233	-0.3642147109	-0.8382329431
row-43	1.2235482202	-0.8825080738	-0.5051964253	1.0692134662	1.1943620248	-1.1063487312
row-44	1.5478001864	-1.2328099545	-0.2434446561	0.9136964740	1.5772959367	-0.7913380921
row-45	1.7418904486	-1.5075425947	0.4581391544	0.1541999767	1.8349460863	0.3137117113
row-46	0.8074551987	0.4942101264	0.6231654599	1.3601941726	0.2039500126	-0.5019502409
row-47	-1.4546288932	0.6806701174	-1.1333504430	0.6159233684	-1.2484782235	-1.3085255666
row-48	-0.6408383790	-1.3681119045	-1.2055506166	-1.5507540691	0.3720176888	0.2698009591
row-49	0.0604061482	-0.8973139502	0.1564051425	-1.2245660825	0.5099679133	1.0743075733
row-50	0.3711188888	-2.2435145320	-0.6662862562	-1.4046533698	1.4029173945	0.7227739600
row-51	0.6528544284	-0.2760060270	1.2106662915	-0.6592889566	0.5187232562	1.4416581952
row-52	1.4595044093	-1.4514396808	-0.7242861025	0.9032248685	1.6425712082	-1.1402534778
row-53	-0.5137062081	-1.5011796712	-1.1531938728	-1.5411940409	0.5135587689	0.3251069094
row-54	0.6639180589	-0.6268612853	0.9696080752	-0.8307858879	0.7119541467	1.4091250781
row-55	1.0374840305	-1.9356984886	0.2313995389	-1.0343539510	1.6263178268	1.1015360033
row-56	1.2466313414	-0.8120400980	-0.3752400635	1.0949845972	1.1701359378	-1.0295635759
row-57	-1.1557415551	1.1924741597	-0.2021301973	1.0981774675	-1.3452482939	-0.9933712005
row-58	1.3139364162	-0.5546341211	1.1130215192	0.0791524656	1.0645229544	0.8402438419
row-59	1.6028648645	-1.0097123535	0.2912917664	0.7708774696	1.4895821655	-0.2887838257
row-60	-0.9043697124	0.9782482376	-0.2974583559	1.1026609219	-1.0835087704	-1.0429564962
row-61	1.3425446214	-0.6013794818	0.1079746634	1.0967877351	1.1145863781	-0.6743605641
row-62	0.0860731089	-0.7478407250	-2.2646682761	-0.3761638911	0.4911496267	-1.3248326182
row-63	0.7582908989	-1.5105009047	0.3625406140	-1.0918994842	1.2365440627	1.2113508891
row-64	-1.6035934466	0.5946927865	-1.4080510589	0.4270024813	-1.2860305783	-1.3761908473
row-65	0.7777317879	0.3105095448	0.2877525689	1.3750060281	0.2832663966	-0.7558520305
row-66	-0.3524616618	0.1404716657	0.6186886481	-1.0935265320	-0.2792368414	1.2120566395
row-67	-0.0226940265	0.7917320929	1.4958016448	-0.5166982071	-0.4447171710	1.4488316665
row-68	0.4636555556	0.8861462927	0.7922305425	1.3505915069	-0.2118860220	-0.3824702106
row-69	0.4020168368	-1.9423482212	-0.3628930472	-1.3405486980	1.2605031909	0.8768680326
row-70	-0.4200638769	0.2165453115	-1.0977334755	0.5590354754	-0.3743422128	-1.1843168121
row-71	-0.6313764981	-0.0709834415	-1.9768535901	-0.1789456784	-0.3139025271	-1.2930929374
row-72	-0.5697447667	0.8740133643	-0.1851834297	1.1746119268	-0.8289833685	-0.9934443062
row-73	1.1690512856	-1.2289315498	-1.0094502414	0.8879208060	1.3503313863	-1.3436405558
row-74	-0.8566793891	1.5597005187	0.6415929934	1.0171685914	-1.3530941195	-0.3372637924
row-75	0.2313532105	-0.5030526637	0.6882407491	-1.0457250895	0.3963450480	1.3245692860
row-76	-0.3228013786	0.2358710269	-0.9654974875	0.6647489043	-0.3297629834	-1.1616047697
row-77	0.8543640252	0.1874418532	0.2283544563	1.3528262705	0.3956689254	-0.7821795411
row-78	0.6460764192	-0.7651606781	-1.2988880868	0.5869943774	0.7964938875	-1.3330348891
row-79	0.2921186371	0.4376331483	1.4686493011	-0.5242300096	-0.0725260436	1.4761432465
row-80	-1.0726552535	1.6809544519	0.9273318787	0.5575228071	-1.5439686545	0.1800952872
row-81	0.9950325935	-1.9264448202	0.2112438548	-1.0607659964	1.5961622644	1.1063793219
row-82	0.3117024831	0.6219183844	0.1898078146	1.3708692478	-0.1659395297	-0.8295877897
row-83	1.6496147697	-1.3260636175	-0.0912622003	0.8068386204	1.6882184221	-0.5966912338
row-84	0.5960471529	-1.9729663102	-0.1750136419	-1.2746210202	1.3876591227	0.9785698570
row-85	1.6217946938	-1.4119920143	-0.2962290159	0.8453813058	1.7180012130	-0.7774492595
row-86	-0.5629483346	0.5945123945	-0.5682219033	0.9721347038	-0.6751146157	-1.1126241324
row-87	1.2088599229	-1.6806699458	0.5083356995	-0.8122498411	1.5945938773	1.1190429227
row-88	1.5910256767	-0.9630529683	0.6859987004	0.4023510437	1.4539901007	0.2842021052
row-89	-0.7715399854	1.2316308503	1.2447057767	-0.7256895707	-1.1112797214	1.3173093459
row-90	1.3292853535	-1.5400944810	0.6322596026	-0.6191997939	1.5937569774	1.0532274773
row-91	-0.6481484873	-0.4383464080	-0.3148857733	-1.3323994498	-0.1327984669	0.7024222121
row-92	0.6925998339	-1.2880146570	-1.8822125293	0.1889640640	1.1178838745	-1.4622308996
row-93	-0.6274717788	0.6600133826	0.8095683846	-1.0348396497	-0.7145594378	1.2490756550
row-94	0.3677753736	0.1488595228	1.3227162377	-0.6603038559	0.1259987456	1.4863122793
row-95	1.1660624079	-1.2605912757	-1.0510026383	0.8686191783	1.3658870944	-1.3599225819
row-96	-1.3773821326	1.0148001844	-0.5790092952	0.9355902385	-1.3853461611	-1.1459091657
row-97	-0.4491584381	1.2834736608	1.4898516285	-0.2521227465	-0.9589431277	1.2056544891
row-98	-0.7009320319	1.3822373677	1.3969494747	-0.3587546000	-1.1578245584	1.1861041193
row-99	0.7099059145	0.7930355415	1.4110641262	0.8054957988	-0.0142156388	0.4752759145
row-100	1.3214188017	-0.2229227703	0.7023783972	0.9818790776	0.8983378707	-0.1531019729
row-101	-1.2883109849	1.0539345027	0.4379789321	-1.2021265182	-1.2967761801	0.9902708977
row-102	1.6007423874	-1.5236212335	0.5976102079	-0.2019170437	1.7535821196	0.6973918847
row-103	1.2344562043	-1.2906622682	0.7765398492	-0.6041887984	1.4040366512	1.1388533201
row-104	-0.9140854355	1.0395360165	-0.2260024556	1.1267913645	-1.1212627604	-1.0126016030
row-105	-1.2889903991	1.7192621067	1.0965410863	0.0288173099	-1.6894975101	0.6566090060
row-106	-0.2839556302	-0.5110353410	0.0891480877	-1.2416074698	0.1093495189	0.9783402333
row-107	1.0546063045	0.0779396520	1.4044773592	0.2388843581	0.5715204315	0.9159725641
row-108	-1.5959859035	1.1623323680	0.1499071174	-1.3184714158	-1.5242969989	0.8150509684
row-109	-0.7176202934	0.4439587635	-0.9410459526	0.7091606612	-0.6811908769	-1.1958705214
row-110	1.4986564326	-1.5986127532	-0.8223403813	0.8583997557	1.7454793846	-1.1786495227
row-111	1.2314040252	0.0249416577	1.0222173645	0.8512292574	0.7103211908	0.1772944267
row-112	-0.8628685960	1.4638198657	0.4103448402	1.1492992075	-1.3079984022	-0.5937536916
row-113	1.4213441785	-1.4062296299	0.7124077115	-0.4203502363	1.5798313350	0.9519352942
row-114	1.1469553596	0.1882524130	0.9804472717	1.0055627652	0.5726803540	0.0282310819
row-115	1.5998780412	-0.9528808393	0.4231824726	0.7055584988	1.4567233310	-0.1421439715
row-116	0.5934008878	0.8703121520	1.5045858102	0.6510045684	-0.1254985715	0.6515205681
row-117	-1.8895661160	0.4046659221	-1.3017002981	-1.5833700772	-1.2643544153	-0.0472869011
row-118	0.6618830726	-0.7271083462	-1.2251163720	0.6456417293	0.7837340930	-1.3226657241
row-119	-0.6206963218	-1.3819435685	-1.1901553952	-1.5473147310	0.3905260130	0.2819088642
row-120	0.8148882362	-0.8104694608	0.9346164569	-0.7928986525	0.8981924161	1.3708021887
row-121	0.3289548535	-0.3741928912	-1.2471992579	0.5091087649	0.3987324313	-1.2378679997
row-122	0.2546618915	0.2238719025	-0.4271467698	1.0971504417	0.0145695148	-1.0730476833
row-123	-0.0559586365	0.6564162119	1.3757329361	-0.6683470664	-0.3903446286	1.4703670984
row-124	-1.3347013901	1.0112138725	0.3196433275	-1.2387144732	-1.2984131359	0.9247756815
row-125	-1.2064664178	0.5273467565	-1.2062897326	0.5488871544	-1.0148370620	-1.2988194703
row-126	1.5611526538	-0.8293897685	0.6668258316	0.5555944320	1.3656387734	0.1510080459
