	i1	i2	i3	i4	o1	o2
r1	-0.9634637342	1.4705045631	-0.9294566052	1.2424836760	-2.3411189733	-0.1427624425
r2	0.2389138450	1.0571212694	0.1333581050	0.3746929809	-0.5811742843	-0.3167113193
r3	1.4941961181	-0.3142881785	-0.5235858045	0.8296930650	0.2676113219	1.6947663016
r4	-0.6594567904	-0.9250500705	-0.7034661142	0.5860191940	-0.5275819569	0.8336376174
r5	0.2824315913	1.0130225019	-0.4576480288	0.8724145828	-1.1129162332	0.3048483292
r6	0.2577133378	1.1243445769	0.2887196375	1.5572546639	-1.1698161861	0.2105211099
r7	-1.1825197901	0.2369629458	-0.3828450555	1.6802293122	-1.8485659110	0.2563034842
r8	-1.2871394823	-0.0288869464	-0.4930071173	1.2663755250	-1.6305872376	0.2036363394
r9	0.2328741686	0.3111080206	-0.7259277723	-1.3777550384	0.3504091398	-0.4160407187
r10	-0.4136422614	-0.2423721244	-0.4843563684	-0.7311003201	0.0605347186	-0.2487508546
r11	-0.9828412382	0.8251737809	1.8979260163	-0.4509340792	0.2017264656	-2.1165663321
r12	-0.9233009974	0.2690957056	0.1097581265	0.9386155468	-1.1281838192	-0.2086318513
r13	0.2241383017	0.7264383792	-0.1521097532	0.4433099588	-0.5981652769	0.0515544002
r14	0.1665276637	0.8956837544	-1.6053524680	1.3896724376	-1.7854304168	0.9561860643
r15	0.3732508008	0.5772792835	0.3676388901	-1.4256073903	0.8308746964	-1.0485923500
r16	-2.0156193504	-0.3133198854	-0.7458684639	0.4533382718	-1.5816001566	-0.2914034964
r17	-1.3799988236	0.2964970835	-0.0996573579	0.9230339096	-1.4784323875	-0.3524316073
r18	-0.9537904305	-0.8765479814	1.1360104292	0.5913739122	0.2441904670	-0.3429669496
r19	1.1013904938	0.0457638623	0.1866424135	1.2564582258	0.0320757594	1.1965996942
r20	0.5446774171	-0.6681010149	1.0750897347	-0.1975605393	1.3357709004	0.0021769161
r21	-1.2928987530	0.4657797807	-0.2017215852	0.8388213460	-1.5239452857	-0.3812951907
r22	-0.0441747699	-2.1072989088	-0.6958737602	1.3004574955	0.0708496981	2.0727474363
r23	0.2021669619	1.8458975149	0.0593424456	-0.4331858233	-0.5886080359	-1.1543586946
r24	1.4484819014	-0.4528815942	1.9327245386	-1.3184416599	2.3743960996	-0.4471665659
r25	-1.1278189176	0.0962250877	-1.1844958783	0.8787653173	-1.7362695150	0.3450822156
r26	0.3751957936	0.4818245575	-2.0653336546	-0.5647732141	-0.8119770150	0.7189763665
r27	1.2255238229	0.3948556912	-1.0641946843	-1.2935048382	0.6409562847	0.3424810330
r28	-0.1516419415	-0.6494135480	-0.2573838471	-1.4220405169	0.9242774775	-0.3592414720
r29	-0.9535132640	-1.9151985101	-1.4703850893	-0.5988922239	0.0834620921	0.9885974389
r30	-1.5090473908	-2.4443867202	0.6883978121	-0.6302848956	1.1980825079	-0.2014009928
r31	1.0001927819	-1.3419707807	-0.8499591691	0.1598289348	0.6522644211	1.7290101844
r32	-0.7864930194	0.6114745904	0.6758798287	-0.9655992143	0.1074034862	-1.6354365186
r33	0.6430796879	-1.4745548290	0.3694595279	0.5707166189	0.9715314449	1.2189022212
r34	-1.5675888466	-0.2781214850	0.8877436687	0.0993254939	-0.2874435090	-1.1542937845
r35	0.0446783011	0.0690350129	0.9420771417	0.4344054480	0.2719519417	-0.2799970805
r36	0.0836832000	0.3752492984	-0.9265181059	-1.0114467884	-0.0839602530	-0.2260538927
r37	-1.2486933995	0.9752542190	0.6658165017	-0.7006386497	-0.3992045853	-1.8736878986
r38	0.9615264514	-1.5523874829	0.0036280481	-1.2688606887	1.8875188312	0.5590679797
r39	0.4658170460	1.4310920798	-1.0304849321	-0.5103157167	-0.7965037362	-0.2568577670
r40	-0.9917823043	-0.2530482769	1.5961503456	0.5591513885	0.1320096546	-0.9781661666
r41	1.1531068553	0.6822779043	1.2679127203	-0.6936498522	1.2723134285	-0.7146036713
r42	0.0423195414	-1.0742723543	-0.1303970799	0.9507364966	0.0482542845	1.2146442481
